bus_id ,stage_index ,value
     2 ,        100 ,14258.4
     2 ,        101 ,13804.8
     2 ,        102 ,13518.0
     2 ,        103 ,13341.6
     2 ,        104 ,13212.0
     2 ,        105 ,13060.8
     2 ,        106 ,13512.0
     2 ,        107 ,14010.0
     2 ,        108 ,13926.0
     2 ,        109 ,15074.4
     2 ,        110 ,15417.6
     2 ,        111 ,14821.2
     2 ,        112 ,14258.4
     2 ,        113 ,13804.8
     2 ,        114 ,13518.0
     2 ,        115 ,13341.6
     2 ,        116 ,13212.0
     2 ,        117 ,13060.8
     2 ,        118 ,13512.0
     2 ,        119 ,14010.0
     2 ,        120 ,13926.0
     3 ,          1 ,11737.2
     3 ,          2 ,11464.8
     3 ,          3 ,12070.8
     3 ,          4 ,12078.0
     3 ,          5 ,11547.6
     3 ,          6 ,10965.6
     3 ,          7 ,10585.2
     3 ,          8 ,10142.4
     3 ,          9 ,10114.8
     3 ,         10 ,10465.2
     3 ,         11 ,10510.8
     3 ,         12 ,10400.4
     3 ,         13 ,11737.2
     3 ,         14 ,11464.8
     3 ,         15 ,12070.8
     3 ,         16 ,12078.0
     3 ,         17 ,11547.6
     3 ,         18 ,10965.6
     3 ,         19 ,10585.2
     3 ,         20 ,10142.4
     3 ,         21 ,10114.8
     3 ,         22 ,10465.2
     3 ,         23 ,10510.8
     3 ,         24 ,10400.4
     3 ,         25 ,11737.2
     3 ,         26 ,11464.8
     3 ,         27 ,12070.8
     3 ,         28 ,12078.0
     3 ,         29 ,11547.6
     3 ,         30 ,10965.6
     3 ,         31 ,10585.2
     3 ,         32 ,10142.4
     3 ,         33 ,10114.8
     3 ,         34 ,10465.2
     3 ,         35 ,10510.8
     3 ,         36 ,10400.4
     3 ,         37 ,11737.2
     3 ,         38 ,11464.8
     3 ,         39 ,12070.8
     3 ,         40 ,12078.0
     3 ,         41 ,11547.6
     3 ,         42 ,10965.6
     3 ,         43 ,10585.2
     3 ,         44 ,10142.4
     3 ,         45 ,10114.8
     3 ,         46 ,10465.2
     3 ,         47 ,10510.8
     3 ,         48 ,10400.4
     3 ,         49 ,11737.2
     3 ,         50 ,11464.8
     3 ,         51 ,12070.8
     3 ,         52 ,12078.0
     3 ,         53 ,11547.6
     3 ,         54 ,10965.6
     3 ,         55 ,10585.2
     3 ,         56 ,10142.4
     3 ,         57 ,10114.8
     3 ,         58 ,10465.2
     3 ,         59 ,10510.8
     3 ,         60 ,10400.4
     3 ,         61 ,11737.2
     3 ,         62 ,11464.8
     3 ,         63 ,12070.8
     3 ,         64 ,12078.0
     3 ,         65 ,11547.6
     3 ,         66 ,10965.6
     3 ,         67 ,10585.2
     3 ,         68 ,10142.4
     3 ,         69 ,10114.8
     3 ,         70 ,10465.2
     3 ,         71 ,10510.8
     3 ,         72 ,10400.4
     3 ,         73 ,11737.2
     3 ,         74 ,11464.8
     3 ,         75 ,12070.8
     3 ,         76 ,12078.0
     3 ,         77 ,11547.6
     3 ,         78 ,10965.6
     3 ,         79 ,10585.2
     3 ,         80 ,10142.4
     3 ,         81 ,10114.8
     3 ,         82 ,10465.2
     3 ,         83 ,10510.8
     3 ,         84 ,10400.4
     3 ,         85 ,11737.2
     3 ,         86 ,11464.8
     3 ,         87 ,12070.8
     3 ,         88 ,12078.0
     3 ,         89 ,11547.6
     3 ,         90 ,10965.6
     3 ,         91 ,10585.2
     3 ,         92 ,10142.4
     3 ,         93 ,10114.8
     3 ,         94 ,10465.2
     3 ,         95 ,10510.8
     3 ,         96 ,10400.4
     3 ,         97 ,11737.2
     3 ,         98 ,11464.8
     3 ,         99 ,12070.8
     3 ,        100 ,12078.0
     3 ,        101 ,11547.6
     3 ,        102 ,10965.6
     3 ,        103 ,10585.2
     3 ,        104 ,10142.4
     3 ,        105 ,10114.8
     3 ,        106 ,10465.2
     3 ,        107 ,10510.8
     3 ,        108 ,10400.4
     3 ,        109 ,11737.2
     3 ,        110 ,11464.8
     3 ,        111 ,12070.8
     3 ,        112 ,12078.0
     3 ,        113 ,11547.6
     3 ,        114 ,10965.6
     3 ,        115 ,10585.2
     3 ,        116 ,10142.4
     3 ,        117 ,10114.8
     3 ,        118 ,10465.2
     3 ,        119 ,10510.8
     3 ,        120 ,10400.4
     4 ,          1 , 6294.0
     4 ,          2 , 6475.2
     4 ,          3 , 6670.8
     4 ,          4 , 6633.6
     4 ,          5 , 6750.0
     4 ,          6 , 6567.6
     4 ,          7 , 6594.0
     4 ,          8 , 6823.2
     4 ,          9 , 6800.4
     4 ,         10 , 6744.0
     4 ,         11 , 6590.4
     4 ,         12 , 6501.6
     4 ,         13 , 6294.0
     4 ,         14 , 6475.2
     4 ,         15 , 6670.8
     4 ,         16 , 6633.6
     4 ,         17 , 6750.0
     4 ,         18 , 6567.6
     4 ,         19 , 6594.0
     4 ,         20 , 6823.2
     4 ,         21 , 6800.4
     4 ,         22 , 6744.0
     4 ,         23 , 6590.4
     4 ,         24 , 6501.6
