id  ,name   ,bus_id ,min_generation ,max_generation ,cost
 63 ,UTE109 ,     1 ,           0.0 ,          13.0 , 727.61
 64 ,UTE110 ,     1 ,           0.0 ,         572.0 , 399.02
 65 ,UTE111 ,     1 ,           0.0 ,          11.0 , 727.61
 66 ,UTE112 ,     1 ,           0.0 ,          31.0 , 681.59
 67 ,UTE113 ,     1 ,           0.0 ,          11.0 , 727.61
 68 ,UTE116 ,     1 ,           0.0 ,          56.0 ,  69.0
 69 ,UTE117 ,     1 ,           0.0 ,          13.0 , 727.61
 70 ,UTE118 ,     1 ,           0.0 ,           0.0 , 239.05
 71 ,UTE119 ,     1 ,           0.0 ,          15.0 , 727.61
 72 ,UTE121 ,     1 ,           0.0 ,          13.0 , 727.61
 73 ,UTE125 ,     1 ,           0.0 ,          15.0 , 727.61
 74 ,UTE127 ,     1 ,           0.0 ,          15.0 , 727.61
 75 ,UTE128 ,     1 ,           0.0 ,           0.0 ,  90.0
 76 ,UTE129 ,     1 ,           0.0 ,           0.0 ,  84.13
 77 ,UTE133 ,     1 ,           0.0 ,          15.0 , 727.61
 78 ,UTE135 ,     1 ,           0.0 ,          13.0 , 727.61
 79 ,UTE136 ,     1 ,           0.0 ,         255.0 ,   0.0
 80 ,UTE137 ,     1 ,           0.0 ,           0.0 , 235.05
 81 ,UTE138 ,     1 ,           0.0 ,          13.0 , 727.61
 82 ,UTE140 ,     1 ,           0.0 ,           0.0 ,  61.5
 83 ,UTE141 ,     1 ,           0.0 ,         150.0 , 449.98
 84 ,UTE142 ,     1 ,           0.0 ,           0.0 ,  90.0
 85 ,UTE144 ,     1 ,           0.0 ,         136.0 , 851.01
 86 ,UTE145 ,     1 ,           0.0 ,           0.0 ,  90.0
 87 ,UTE151 ,     1 ,           0.0 ,          53.0 , 959.24
 88 ,UTE152 ,     1 ,           0.0 ,          50.0 , 619.14
 89 ,UTE153 ,     1 ,           0.0 ,          44.0 , 822.15
 90 ,UTE155 ,     1 ,           0.0 ,         140.0 , 877.87
 91 ,UTE156 ,     1 ,           0.0 ,         350.0 ,  64.08
 92 ,UTE159 ,     1 ,           0.0 ,         143.0 ,1063.46
 93 ,UTE160 ,     1 ,           0.0 ,          94.0 ,1063.46
 94 ,UTE161 ,     1 ,           0.0 ,          66.0 , 959.23
 95 ,UTE163 ,     1 ,           0.0 ,         365.0 , 124.71
 96 ,UTE164 ,     1 ,           0.0 ,         152.0 , 775.66
 97 ,UTE166 ,     1 ,           0.0 ,         150.0 , 775.66
 98 ,UTE167 ,     1 ,           0.0 ,         720.0 , 116.11
 99 ,UTE169 ,     1 ,           0.0 ,           4.0 , 229.17
100 ,UTE170 ,     1 ,           0.0 ,         381.0 , 638.54
101 ,UTE171 ,     1 ,           0.0 ,         400.0 ,  37.8
102 ,UTE172 ,     1 ,           0.0 ,         100.0 ,  58.89
103 ,UTE173 ,     1 ,           0.0 ,         200.0 , 102.84
104 ,UTE174 ,     1 ,           0.0 ,         127.0 , 289.96
105 ,UTE176 ,     1 ,           0.0 ,         360.0 , 119.15
106 ,UTE182 ,     1 ,           0.0 ,         176.0 , 730.2
107 ,UTE183 ,     1 ,           0.0 ,         235.0 , 142.82
108 ,UTE194 ,     1 ,           0.0 ,         340.0 , 678.04
109 ,UTE196 ,     1 ,           0.0 ,         197.0 ,   0.0
110 ,UTE201 ,     1 ,           0.0 ,         166.0 , 302.19
111 ,UTE203 ,     1 ,           0.0 ,          85.0 ,   0.0
112 ,UTE204 ,     1 ,           0.0 ,          75.0 ,   0.0
113 ,UTE205 ,     1 ,           0.0 ,          67.0 ,   0.0
114 ,UTE206 ,     1 ,           0.0 ,         110.0 , 411.92
115 ,UTE207 ,     1 ,           0.0 ,          66.0 ,   0.0
116 ,UTE208 ,     1 ,           0.0 ,           0.0 , 538.78
117 ,UTE209 ,     1 ,           0.0 ,          93.0 ,   0.0
118 ,UTE211 ,     1 ,           0.0 ,         344.0 ,  86.69
119 ,UTE212 ,     1 ,           0.0 ,           0.0 ,  63.17
120 ,UTE213 ,     1 ,           0.0 ,         321.0 , 220.92
121 ,UTE214 ,     1 ,           0.0 ,          65.0 , 300.0
122 ,UTE215 ,     1 ,           0.0 ,         770.0 , 168.44
123 ,UTE216 ,     1 ,           0.0 ,         266.0 , 300.0
124 ,UTE217 ,     1 ,           0.0 ,         134.0 , 143.49
125 ,UTE218 ,     1 ,           0.0 ,         216.0 , 299.99
126 ,UTE219 ,     1 ,           0.0 ,         157.0 , 247.3
127 ,UTE220 ,     1 ,           0.0 ,          59.0 , 299.99
128 ,UTE300 ,     1 ,           0.0 ,          40.0 , 844.72
129 ,UTE302 ,     1 ,           0.0 ,          20.0 , 926.82
130 ,UTE303 ,     1 ,           0.0 ,          30.0 ,1165.12
131 ,UTE304 ,     1 ,           0.0 ,          28.0 , 616.42
132 ,UTE305 ,     1 ,           0.0 ,          28.0 , 590.42
133 ,UTE306 ,     1 ,           0.0 ,         130.0 , 657.05
134 ,UTE307 ,     1 ,           0.0 ,          27.0 , 659.1
135 ,UTE308 ,     1 ,           0.0 ,          19.0 , 611.14
136 ,UTE309 ,     1 ,           0.0 ,          18.0 , 622.6
137 ,UTE310 ,     1 ,           0.0 ,          30.0 , 660.35
138 ,UTE311 ,     1 ,           0.0 ,          18.0 , 660.35
139 ,UTE312 ,     1 ,           0.0 ,          20.0 , 618.81
140 ,UTE313 ,     1 ,           0.0 ,          20.0 , 636.82
141 ,UTE314 ,     1 ,           0.0 ,          20.0 , 631.82
142 ,UTE315 ,     1 ,           0.0 ,          18.0 , 639.79
143 ,UTE316 ,     1 ,           0.0 ,          19.0 , 654.63
144 ,UTE317 ,     1 ,           0.0 ,          45.0 , 654.56
